direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,notional_usd,pnl_pct_net,pnl_usd
long,0.018499999999999878,16,PEPEUSDT,1685005200,1685019600,1.4e-06,1.4258999999999998e-06,trail_stop,30.0,0.017299999999999878,0.5189999999999964
long,0.0,192,GALAUSDT,1685016000,1685188800,0.03005,0.03005,timeout,30.0,-0.0012,-0.036
long,0.02819356977129593,2,FLOKIUSDT,1685019600,1685021400,3.017e-05,3.10206e-05,trail_stop,30.0,0.026993569771295932,0.809807093138878
long,0.012228994340444084,7,FETUSDT,1685020500,1685026800,0.2297,0.232509,trail_stop,30.0,0.011028994340444085,0.33086983021332256
long,0.0,192,XRPUSDT,1685062800,1685235600,0.4596,0.4596,timeout,30.0,-0.0012,-0.036
long,0.0,192,ARBUSDT,1685090700,1685263500,1.1435,1.1435,timeout,30.0,-0.0012,-0.036
long,0.08811630218687881,4,HIGHUSDT,1685098800,1685102400,2.012,2.18929,trail_stop,30.0,0.0869163021868788,2.607489065606364
long,-0.007203290246768471,99,CRVUSDT,1685106000,1685195100,0.851,0.84487,trail_stop,30.0,-0.008403290246768471,-0.2520987074030541
long,0.005389718076285222,39,FETUSDT,1685113200,1685148300,0.2412,0.2425,trail_stop,30.0,0.004189718076285222,0.12569154228855667
long,0.016190476190476255,9,PEPEUSDT,1685160900,1685169000,1.47e-06,1.4938e-06,trail_stop,30.0,0.014990476190476255,0.4497142857142877
long,0.014536271808999222,27,FLOKIUSDT,1685226600,1685250900,3.267e-05,3.31449e-05,trail_stop,30.0,0.013336271808999222,0.4000881542699767
long,0.020064516129032397,119,SOLUSDT,1685226600,1685333700,20.15,20.5543,trail_stop,30.0,0.018864516129032397,0.5659354838709719
long,0.01561601243684402,32,FETUSDT,1685240100,1685268900,0.2573,0.26131799999999994,trail_stop,30.0,0.01441601243684402,0.4324803731053206
long,-0.005457251529684222,65,APTUSDT,1685268900,1685327400,8.4658,8.419599999999999,trail_stop,30.0,-0.006657251529684221,-0.19971754589052665
long,0.06099437148217622,1,HIGHUSDT,1685284200,1685285100,2.132,2.26204,trail_stop,30.0,0.05979437148217622,1.7938311444652866
long,0.0,192,GALAUSDT,1685311200,1685484000,0.03114,0.03114,timeout,30.0,-0.0012,-0.036
long,0.0,192,ZECUSDT,1685311200,1685484000,34.0,34.0,timeout,30.0,-0.0012,-0.036
long,0.017783251231527082,162,FILUSDT,1685312100,1685457900,4.669,4.7520299999999995,trail_stop,30.0,0.016583251231527082,0.49749753694581245
long,0.017605166051660404,20,FETUSDT,1685437200,1685455200,0.271,0.275771,trail_stop,30.0,0.016405166051660404,0.49215498154981213
long,-0.006059401798786899,20,FILUSDT,1685439900,1685457900,4.781,4.7520299999999995,trail_stop,30.0,-0.007259401798786899,-0.21778205396360698
long,0.017279572022983906,21,XRPUSDT,1685462400,1685481300,0.5047,0.513421,trail_stop,30.0,0.016079572022983907,0.4823871606895172
long,0.009112903225806454,5,PEPEUSDT,1685574900,1685579400,1.24e-06,1.2513e-06,trail_stop,30.0,0.007912903225806454,0.23738709677419362
long,-0.005795957043587991,21,FLOKIUSDT,1685610000,1685628900,3.166e-05,3.14765e-05,trail_stop,30.0,-0.0069959570435879906,-0.20987871130763971
long,0.022303921568627465,114,FETUSDT,1685610900,1685713500,0.2652,0.271115,trail_stop,30.0,0.021103921568627466,0.633117647058824
long,0.0316961130742049,5,HIGHUSDT,1685619000,1685623500,1.981,2.04379,trail_stop,30.0,0.030496113074204897,0.9148833922261469
