pnl_pct,exit_reason,bars_held,entry_bar,entry_price,exit_price,direction,symbol,signal,entry_time
0.031104526275412506,timeout,672,28889,2.607,2.522,short,LAZIOUSDT,baseline,2024-01-26 22:15:00+00:00
0.04062168486739473,timeout,672,29317,2.564,2.456,short,LAZIOUSDT,baseline,2024-01-31 09:15:00+00:00
-0.007614961271911996,timeout,672,29591,2.453,2.468,short,LAZIOUSDT,baseline,2024-02-03 05:45:00+00:00
-0.051500000000000004,stop_loss,169,29743,2.343,2.46015,short,LAZIOUSDT,baseline,2024-02-04 19:45:00+00:00
-0.051500000000000004,stop_loss,338,29955,2.433,2.55465,short,LAZIOUSDT,baseline,2024-02-07 00:45:00+00:00
-0.051500000000000004,stop_loss,244,31007,2.717,2.85285,short,LAZIOUSDT,baseline,2024-02-17 23:45:00+00:00
-0.051500000000000004,stop_loss,112,31139,2.681,2.8150500000000003,short,LAZIOUSDT,baseline,2024-02-19 08:45:00+00:00
-0.051500000000000004,stop_loss,399,31338,2.746,2.8833,short,LAZIOUSDT,baseline,2024-02-21 10:30:00+00:00
-0.051500000000000004,stop_loss,33,32043,2.64,2.7720000000000002,short,LAZIOUSDT,baseline,2024-02-28 18:45:00+00:00
-0.051500000000000004,stop_loss,106,32382,2.916,3.0618,short,LAZIOUSDT,baseline,2024-03-03 07:30:00+00:00
-0.051500000000000004,stop_loss,298,32565,2.907,3.05235,short,LAZIOUSDT,baseline,2024-03-05 05:15:00+00:00
-0.051500000000000004,stop_loss,374,32897,3.041,3.19305,short,LAZIOUSDT,baseline,2024-03-08 16:15:00+00:00
-0.051500000000000004,stop_loss,89,33087,2.959,3.1069500000000003,short,LAZIOUSDT,baseline,2024-03-10 15:45:00+00:00
-0.051500000000000004,stop_loss,125,33376,3.189,3.34845,short,LAZIOUSDT,baseline,2024-03-13 16:00:00+00:00
0.1485,take_profit,138,33588,3.376,2.8695999999999997,short,LAZIOUSDT,baseline,2024-03-15 21:00:00+00:00
-0.051500000000000004,stop_loss,36,33701,3.002,3.1521,short,LAZIOUSDT,baseline,2024-03-17 01:15:00+00:00
-0.051500000000000004,stop_loss,214,33852,3.055,3.2077500000000003,short,LAZIOUSDT,baseline,2024-03-18 15:00:00+00:00
-0.051500000000000004,stop_loss,114,34366,3.295,3.45975,short,LAZIOUSDT,baseline,2024-03-23 23:30:00+00:00
-0.051500000000000004,stop_loss,402,34550,3.541,3.7180500000000003,short,LAZIOUSDT,baseline,2024-03-25 21:30:00+00:00
-0.051500000000000004,stop_loss,112,34713,3.408,3.5784000000000002,short,LAZIOUSDT,baseline,2024-03-27 14:15:00+00:00
-0.051500000000000004,stop_loss,60,34879,3.407,3.57735,short,LAZIOUSDT,baseline,2024-03-29 07:45:00+00:00
-0.051500000000000004,stop_loss,169,35014,3.554,3.7317,short,LAZIOUSDT,baseline,2024-03-30 17:30:00+00:00
-0.051500000000000004,stop_loss,18,35234,3.681,3.86505,short,LAZIOUSDT,baseline,2024-04-02 00:30:00+00:00
-0.051500000000000004,stop_loss,17,35331,3.371,3.53955,short,LAZIOUSDT,baseline,2024-04-03 00:45:00+00:00
0.1485,take_profit,552,35709,3.778,3.2113,short,LAZIOUSDT,baseline,2024-04-06 23:15:00+00:00
0.1485,take_profit,357,35909,3.629,3.08465,short,LAZIOUSDT,baseline,2024-04-09 01:15:00+00:00
0.1485,take_profit,9,36257,3.45,2.9325,short,LAZIOUSDT,baseline,2024-04-12 16:15:00+00:00
-0.051500000000000004,stop_loss,49,36368,2.605,2.73525,short,LAZIOUSDT,baseline,2024-04-13 20:00:00+00:00
-0.051500000000000004,stop_loss,65,36760,2.78,2.919,short,LAZIOUSDT,baseline,2024-04-17 22:00:00+00:00
-0.051500000000000004,stop_loss,43,36870,2.774,2.9127,short,LAZIOUSDT,baseline,2024-04-19 01:30:00+00:00
-0.051500000000000004,stop_loss,22,37403,3.124,3.2802000000000002,short,LAZIOUSDT,baseline,2024-04-24 14:45:00+00:00
-0.051500000000000004,stop_loss,159,37544,3.009,3.15945,short,LAZIOUSDT,baseline,2024-04-26 02:00:00+00:00
-0.051500000000000004,stop_loss,38,37665,2.98,3.129,short,LAZIOUSDT,baseline,2024-04-27 08:15:00+00:00
-0.051500000000000004,stop_loss,357,37837,2.98,3.129,short,LAZIOUSDT,baseline,2024-04-29 03:15:00+00:00
-0.051500000000000004,stop_loss,228,37966,2.837,2.9788500000000004,short,LAZIOUSDT,baseline,2024-04-30 11:30:00+00:00
-0.051500000000000004,stop_loss,136,38259,2.928,3.0744000000000002,short,LAZIOUSDT,baseline,2024-05-03 12:45:00+00:00
0.09375521207764202,timeout,672,38709,2.782,2.517,short,LAZIOUSDT,baseline,2024-05-08 05:15:00+00:00
0.005399055918663808,timeout,672,38945,2.754,2.735,short,LAZIOUSDT,baseline,2024-05-10 16:15:00+00:00
-0.051500000000000004,stop_loss,54,39181,2.535,2.66175,short,LAZIOUSDT,baseline,2024-05-13 03:15:00+00:00
-0.051500000000000004,stop_loss,111,39321,2.492,2.6166,short,LAZIOUSDT,baseline,2024-05-14 14:15:00+00:00
-0.051500000000000004,stop_loss,401,40000,2.7,2.8350000000000004,short,LAZIOUSDT,baseline,2024-05-21 16:00:00+00:00
-0.051500000000000004,stop_loss,122,40209,2.534,2.6607,short,LAZIOUSDT,baseline,2024-05-23 20:15:00+00:00
-0.051500000000000004,stop_loss,14,40436,2.772,2.9106,short,LAZIOUSDT,baseline,2024-05-26 05:00:00+00:00
-0.051500000000000004,stop_loss,127,40545,2.677,2.8108500000000003,short,LAZIOUSDT,baseline,2024-05-27 08:15:00+00:00
-0.051500000000000004,stop_loss,46,40735,2.817,2.95785,short,LAZIOUSDT,baseline,2024-05-29 07:45:00+00:00
-0.0057674253200569025,timeout,672,40834,2.812,2.824,short,LAZIOUSDT,baseline,2024-05-30 08:30:00+00:00
-0.051500000000000004,stop_loss,313,41142,2.749,2.8864500000000004,short,LAZIOUSDT,baseline,2024-06-02 13:30:00+00:00
0.1485,take_profit,515,41641,2.53,2.1504999999999996,short,LAZIOUSDT,baseline,2024-06-07 18:15:00+00:00
-0.051500000000000004,stop_loss,31,41759,2.368,2.4864,short,LAZIOUSDT,baseline,2024-06-08 23:45:00+00:00
0.1485,take_profit,296,41874,2.451,2.08335,short,LAZIOUSDT,baseline,2024-06-10 04:30:00+00:00
0.1485,take_profit,330,41992,2.346,1.9941,short,LAZIOUSDT,baseline,2024-06-11 10:00:00+00:00
0.1485,take_profit,381,42156,2.162,1.8377,short,LAZIOUSDT,baseline,2024-06-13 03:00:00+00:00
0.1485,take_profit,233,42322,2.029,1.7246499999999998,short,LAZIOUSDT,baseline,2024-06-14 20:30:00+00:00
0.1485,take_profit,153,42473,1.924,1.6354,short,LAZIOUSDT,baseline,2024-06-16 10:15:00+00:00
0.1019278959810875,timeout,672,42594,1.692,1.517,short,LAZIOUSDT,baseline,2024-06-17 16:30:00+00:00
-0.051500000000000004,stop_loss,114,43196,1.524,1.6002,short,LAZIOUSDT,baseline,2024-06-23 23:00:00+00:00
-0.051500000000000004,stop_loss,134,43494,1.536,1.6128,short,LAZIOUSDT,baseline,2024-06-27 01:30:00+00:00
0.1485,take_profit,497,43756,1.534,1.3039,short,LAZIOUSDT,baseline,2024-06-29 19:00:00+00:00
0.1485,take_profit,121,44137,1.471,1.25035,short,LAZIOUSDT,baseline,2024-07-03 18:15:00+00:00
-0.051500000000000004,stop_loss,169,44257,1.255,1.31775,short,LAZIOUSDT,baseline,2024-07-05 00:15:00+00:00
-0.051500000000000004,stop_loss,166,44961,1.335,1.40175,short,LAZIOUSDT,baseline,2024-07-12 08:15:00+00:00
-0.051500000000000004,stop_loss,57,45653,1.455,1.5277500000000002,short,LAZIOUSDT,baseline,2024-07-19 13:15:00+00:00
0.023652957171991937,timeout,672,45865,1.471,1.434,short,LAZIOUSDT,baseline,2024-07-21 18:15:00+00:00
-0.051500000000000004,stop_loss,101,46182,1.35,1.4175000000000002,short,LAZIOUSDT,baseline,2024-07-25 01:30:00+00:00
0.1485,take_profit,327,46909,1.322,1.1237,short,LAZIOUSDT,baseline,2024-08-01 15:15:00+00:00
0.1485,take_profit,230,47006,1.264,1.0744,short,LAZIOUSDT,baseline,2024-08-02 15:30:00+00:00
0.1485,take_profit,152,47105,1.229,1.04465,short,LAZIOUSDT,baseline,2024-08-03 16:15:00+00:00
-0.051500000000000004,stop_loss,446,47202,1.164,1.2222,short,LAZIOUSDT,baseline,2024-08-04 16:30:00+00:00
0.02448425196850387,timeout,672,47893,1.27,1.237,short,LAZIOUSDT,baseline,2024-08-11 21:15:00+00:00
-0.051500000000000004,stop_loss,230,48300,1.168,1.2264,short,LAZIOUSDT,baseline,2024-08-16 03:00:00+00:00
-0.051500000000000004,stop_loss,101,49182,1.393,1.46265,short,LAZIOUSDT,baseline,2024-08-25 07:30:00+00:00
0.06805871353777111,timeout,672,49344,1.337,1.244,short,LAZIOUSDT,baseline,2024-08-27 00:00:00+00:00
0.015326923076923004,timeout,672,49506,1.248,1.227,short,LAZIOUSDT,baseline,2024-08-28 16:30:00+00:00
0.023334437086092737,timeout,672,49834,1.208,1.178,short,LAZIOUSDT,baseline,2024-09-01 02:30:00+00:00
-0.051500000000000004,stop_loss,54,50117,1.156,1.2138,short,LAZIOUSDT,baseline,2024-09-04 01:15:00+00:00
-0.051500000000000004,stop_loss,244,50384,1.158,1.2159,short,LAZIOUSDT,baseline,2024-09-06 20:00:00+00:00
-0.051500000000000004,stop_loss,270,51285,1.218,1.2789,short,LAZIOUSDT,baseline,2024-09-16 05:15:00+00:00
-0.051500000000000004,stop_loss,557,52617,1.371,1.43955,short,LAZIOUSDT,baseline,2024-09-30 02:15:00+00:00
-0.051500000000000004,stop_loss,165,52765,1.295,1.35975,short,LAZIOUSDT,baseline,2024-10-01 15:15:00+00:00
