direction,pnl_pct,bars_held,symbol,entry_time,exit_time,entry_price,exit_price,exit_reason,equity_at_entry,notional_usd,pnl_pct_net,pnl_usd,equity_after_exit,was_capped
short,-0.009050847457627116,8,HBARUSDT,1692748800,1692756000,0.059,0.059534,trail_stop,50745.54242457383,38059.156818430376,-0.010250847457627115,-390.1386109116387,50355.4038136622,False
long,0.024062165058949675,141,BCHUSDT,1692751500,1692878400,186.6,191.09,trail_stop,50745.54242457383,38059.156818430376,0.022862165058949675,870.1147251874053,51307.169631293116,False
long,0.01967654986522894,132,HIGHUSDT,1692768600,1692887400,1.113,1.1348999999999998,trail_stop,50355.4038136622,37766.55286024665,0.01847654986522894,697.7955971601518,52004.96522845327,False
long,0.0033619948409287018,25,NEARUSDT,1692772200,1692794700,1.163,1.1669100000000001,trail_stop,50355.4038136622,37766.55286024665,0.002161994840928702,81.65109244351437,50437.05490610571,False
long,0.04877927254608866,128,FETUSDT,1692773100,1692888300,0.2007,0.21048999999999998,trail_stop,50355.4038136622,37766.55286024665,0.04757927254608866,1796.9051116639396,55284.697643616615,False
long,0.04039941548952733,102,SOLUSDT,1692795600,1692887400,20.53,21.359399999999997,trail_stop,50437.05490610571,37827.79117957928,0.03919941548952733,1482.8273034994054,53487.79253195268,False
long,0.0,192,FETUSDT,1692883800,1693056600,0.2146,0.2146,timeout,51307.169631293116,38480.37722346983,-0.0012,-46.1764526681638,59103.55684841395,False
short,0.012816283709411042,133,APTUSDT,1692898200,1693017900,5.8144,5.7398810000000005,trail_stop,55284.697643616615,41463.52323271246,0.011616283709411042,481.65204946294403,55790.01983098449,False
short,0.0028723404255319054,2,PEPEUSDT,1692910800,1692912600,9.4e-07,9.373e-07,trail_stop,55284.697643616615,41463.52323271246,0.0016723404255319055,69.3411260870464,55308.36778152155,False
short,0.0,192,FLOKIUSDT,1692937800,1693110600,1.75e-05,1.75e-05,timeout,55308.36778152155,41481.275836141154,-0.0012,-49.77753100336938,59053.77931741058,False
short,0.0,192,GALAUSDT,1692937800,1693110600,0.01904,0.01904,timeout,55308.36778152155,41481.275836141154,-0.0012,-49.77753100336938,59004.001786407214,False
short,0.0,192,FILUSDT,1692938700,1693111500,3.222,3.222,timeout,55308.36778152155,41481.275836141154,-0.0012,-49.77753100336938,58954.224255403846,False
long,0.08149425287356313,1,PEPEUSDT,1693017900,1693018800,8.7e-07,9.409e-07,trail_stop,55790.01983098449,41842.51487323837,0.08029425287356312,3359.7134700976276,59149.73330108212,False
long,0.0,192,FETUSDT,1693019700,1693192500,0.2131,0.2131,timeout,59149.73330108212,44362.299975811584,-0.0012,-53.2347599709739,58900.98949543287,False
short,0.0,192,PEPEUSDT,1693075500,1693248300,8.6e-07,8.6e-07,timeout,59103.55684841395,44327.66763631046,-0.0012,-53.19320116357255,60113.27019542725,False
short,-0.07499999999999991,151,NEARUSDT,1693183500,1693319400,1.168,1.2555999999999998,stop_loss,58954.224255403846,44215.66819155289,-0.07619999999999992,-3369.233916196327,56540.86626822284,False
short,0.0298204857444563,46,SUIUSDT,1693183500,1693224900,0.5682,0.551256,trail_stop,58954.224255403846,44215.66819155289,0.0286204857444563,1265.4739011579493,60166.46339659082,False
short,-0.006872062663185392,109,BCHUSDT,1693214100,1693312200,191.5,192.816,trail_stop,58900.98949543287,44175.74212157465,-0.008072062663185392,-356.58935859806894,60008.51250089789,False
long,-0.004854180168502963,53,DOTUSDT,1693270800,1693318500,4.629,4.606529999999999,trail_stop,60113.27019542725,45084.95264657044,-0.006054180168502963,-272.9524262107619,59735.56007468713,False
long,0.005071360608943875,52,AVAXUSDT,1693271700,1693318500,10.51,10.5633,trail_stop,60113.27019542725,45084.95264657044,0.0038713606089438753,174.54010973203273,59910.10018441916,False
short,0.006785714285714292,21,PEPEUSDT,1693289700,1693308600,8.4e-07,8.343e-07,trail_stop,60113.27019542725,45084.95264657044,0.005585714285714292,251.8316640687009,60365.10185949595,False
long,0.06760061919504642,1,BCHUSDT,1693318500,1693319400,193.8,206.901,trail_stop,59910.10018441916,44932.575138314365,0.06640061919504642,2983.5508112120224,59524.41707943486,False
long,0.03510958904109586,25,BNBUSDT,1693318500,1693341000,219.0,226.689,trail_stop,59910.10018441916,44932.575138314365,0.03390958904109586,1523.645157498401,62816.55960924486,False
long,0.022115198451113212,6,FETUSDT,1693318500,1693323900,0.2066,0.211169,trail_stop,59910.10018441916,44932.575138314365,0.020915198451113212,939.7737259374006,61292.91445174646,False
long,0.037566517189835405,43,FILUSDT,1693318500,1693357200,3.345,3.4706599999999996,trail_stop,59910.10018441916,44932.575138314365,0.036366517189835405,1634.0412661510804,64827.21000488344,False
long,0.009635958395245116,35,ADAUSDT,1693319400,1693350900,0.2692,0.271794,trail_stop,59524.41707943486,44643.31280957615,0.008435958395245116,376.60912948749774,63193.16873873236,False
long,0.019763220205209202,3,SEIUSDT,1693320300,1693323000,0.1267,0.129204,trail_stop,59524.41707943486,44643.31280957615,0.018563220205209202,828.7236463741988,60353.14072580906,False
long,-0.07500000000000008,165,AAVEUSDT,1693352700,1693501200,59.34,54.8895,stop_loss,63193.16873873236,47394.87655404927,-0.07620000000000009,-3611.4895934185583,60782.94289915642,False
long,0.0,192,CHZUSDT,1693354500,1693527300,0.0639,0.0639,timeout,63193.16873873236,47394.87655404927,-0.0012,-56.87385186485912,62354.35351208101,False
short,0.034689732982324216,142,ADAUSDT,1693377000,1693504800,0.2659,0.256676,trail_stop,64827.21000488344,48620.40750366258,0.033489732982324216,1628.2844647894526,62411.22736394587,False
